GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0007229	integrin-mediated signaling pathway	2.02e-03	2.02e-03	1	BCAR1,FERMT2,COL16A1,ABL1,NEDD9,ITGA11,SEMA7A,ITGA10,ITGB1,THY1,ITGA2,COL3A1
GO:0048008	platelet-derived growth factor receptor signaling pathway	5.78e-04	5.78e-04	1	BCAR1,ABL1,PDGFRB,F3,LRP1,PDGFRA,PTGIR,PDGFD,APOD
GO:0007219	Notch signaling pathway	4.63e-02	4.63e-02	1	SNAI2,ZNF423,SNAI1,BMP2,DTX1,MMP14,HEYL,HEY1,TSPAN5,EGFL7,ROBO2,PEAR1
GO:0007164	establishment of tissue polarity	4.21e-03	4.21e-03	1	FOXF2,PRICKLE1,NKD1,DAB2,FZD7,FZD1,PRICKLE2,DACT1,ROR2,FZD2
GO:0034330	cell junction organization	1.83e-09	1.83e-09	1	SNAI2,EPHA3,ACTN1,FERMT2,FSCN1,COL16A1,SORBS1,ABL1,SFRP1,CAV1,CNTNAP1,TGFB3,TEK,SNAI1,KDR,FLNC,AGT,THBS1,KIFC3,CDH11,PHLDB2,SDK1,NLGN4X,GJA1,THY1,RUNX1,FBLIM1,DLC1,GJB2,DAPK3,NLGN2,PARD6G,PLEC,CDH5,F2R,GJC1,CLDN5,KRT5,APOD
GO:0034332	adherens junction organization	1.60e-04	1.60e-04	1	EPHA3,ACTN1,FERMT2,COL16A1,SORBS1,ABL1,SFRP1,TEK,KDR,THBS1,KIFC3,CDH11,PHLDB2,THY1,DLC1,DAPK3,CDH5,APOD
GO:1903391	regulation of adherens junction organization	1.22e-04	1.22e-04	1	EPHA3,COL16A1,ABL1,SFRP1,TEK,KDR,THBS1,PHLDB2,THY1,DLC1,DAPK3,APOD
GO:1903393	positive regulation of adherens junction organization	3.73e-03	3.73e-03	1	COL16A1,ABL1,SFRP1,TEK,KDR,THY1
GO:0045216	cell-cell junction organization	2.17e-05	2.17e-05	1	SNAI2,FSCN1,CAV1,CNTNAP1,TGFB3,SNAI1,AGT,KIFC3,SDK1,NLGN4X,GJA1,RUNX1,GJB2,NLGN2,PARD6G,CDH5,F2R,GJC1,CLDN5
GO:0021700	developmental maturation	4.45e-02	4.45e-02	1	IGF1,PTPRN,FGFR3,NRCAM,XYLT1,LHX6,BMP2,DLG4,CCL21,APP,GREM1,S1PR1,ARHGEF15
GO:0071695	anatomical structure maturation	4.01e-02	4.01e-02	1	IGF1,FGFR3,NRCAM,XYLT1,BMP2,APP,GREM1,S1PR1
GO:0014812	muscle cell migration	1.11e-02	1.11e-02	1	IGF1,SERPINE1,PDGFRB,IGFBP5,PLAU,LRP1,TPM1,SLIT2,MEGF10,PRKG1
GO:0014909	smooth muscle cell migration	1.94e-02	1.94e-02	1	IGF1,SERPINE1,PDGFRB,IGFBP5,PLAU,LRP1,TPM1,SLIT2,PRKG1
GO:0014910	regulation of smooth muscle cell migration	1.28e-02	1.28e-02	1	IGF1,SERPINE1,PDGFRB,IGFBP5,PLAU,LRP1,TPM1,SLIT2,PRKG1
GO:0090130	tissue migration	3.75e-05	3.75e-05	1	DCN,FLT4,BCAR1,FAP,ABL1,SRPX2,ACTA2,SMOC2,SEMA5A,SPARC,FGF1,FOXP1,RTN4,NRP2,TEK,NR4A1,PLCG1,BMP4,KDR,LOXL2,AGT,THBS1,CYP1B1,FGF7,EPHA2,RHOB,SLIT2,ANGPT1,KIT,ACTG2,ADAMTS9,GREM1,ZEB2,MCC,SCG2,EGR3,DPP4
GO:0090132	epithelium migration	1.50e-04	1.50e-04	1	DCN,FLT4,BCAR1,FAP,ABL1,SRPX2,SMOC2,SEMA5A,SPARC,FGF1,FOXP1,RTN4,NRP2,TEK,NR4A1,PLCG1,BMP4,KDR,LOXL2,AGT,THBS1,CYP1B1,FGF7,EPHA2,RHOB,SLIT2,ANGPT1,KIT,ADAMTS9,GREM1,ZEB2,MCC,SCG2,EGR3,DPP4
GO:0198738	cell-cell signaling by wnt	1.02e-10	1.02e-10	1	MARK4,SNAI2,DKK3,CDK14,FERMT2,BAMBI,SFRP1,CAV1,SFRP4,GLI3,COL1A1,CPE,MDFI,PTK7,SEMA5A,BICC1,LRP1,SOX4,BMP2,WNT2B,LRP4,PRICKLE1,NKD1,IGFBP4,APP,SFRP2,NKD2,LATS2,DIXDC1,TCF7L1,DAB2,APCDD1,DKK2,FZD7,FZD1,SKI,RUNX1,PRICKLE2,DACT1,GREM1,DAPK3,IGFBP6,TMEM88,ROR2,SOX7,SOSTDC1,MCC,HIC1,FZD2,NOG,GNG2,TMEM198,SULF2,DACT3
GO:0042330	taxis	9.38e-09	9.38e-09	1	FYN,HGF,BCAR1,GPC1,NGFR,GLI2,SEMA3C,SEMA6A,SERPINE1,RARRES2,CXCL12,SMOC2,SEMA5A,FGF1,PDGFRB,F3,NRP2,PGF,TNFRSF8,PLAU,NR4A1,PLCG1,EDN2,KDR,PDGFRA,CCL21,THBS1,CH25H,SEMA7A,FGF7,APP,EPHA2,SLIT2,CXCL14,FEZ1,VEGFC,GFRA1,SEMA3D,ANGPT1,KIT,NBL1,SPON2,JAM3,GREM1,S1PR1,SCG2,CYP7B1,CDK5R1,EGR3,SLIT3,ROBO2,C10ORF99,PDLIM7,LPAR1,DOK6,TUBB3,CCL14
GO:0048736	appendage development	1.06e-04	1.06e-04	1	CYP26B1,PCSK5,COMP,GLI3,TWIST1,SOX4,BMP4,LRP4,AFF3,CACNA1C,SKI,GREM1,SOX11,NOG
GO:0035107	appendage morphogenesis	1.04e-03	1.04e-03	1	CYP26B1,PCSK5,GLI3,TWIST1,SOX4,AFF3,CACNA1C,SKI,SOX11,NOG
GO:0060173	limb development	1.06e-04	1.06e-04	1	CYP26B1,PCSK5,COMP,GLI3,TWIST1,SOX4,BMP4,LRP4,AFF3,CACNA1C,SKI,GREM1,SOX11,NOG
GO:0035108	limb morphogenesis	1.04e-03	1.04e-03	1	CYP26B1,PCSK5,GLI3,TWIST1,SOX4,AFF3,CACNA1C,SKI,SOX11,NOG
GO:0048799	animal organ maturation	4.28e-03	4.28e-03	1	IGF1,FGFR3,XYLT1,BMP2,GREM1
GO:0050817	coagulation	7.13e-04	7.13e-04	1	TFPI,FYN,EHD2,FBLN1,FAP,CAV1,SERPINE1,COL1A1,VWF,F3,PLAU,ITPR2,F13A1,DOCK6,PDGFRA,CD36,THBS1,MMRN1,GNA14,PDPN,ITGA2,COL1A2,COL3A1,ZFPM2,PDGFD,C1QTNF1,CD34,SELP,THBD,F2R,PRKG1,GNG2,F5
GO:0050818	regulation of coagulation	4.11e-05	4.11e-05	1	TFPI,FAP,CAV1,SERPINE1,F3,PLAU,PDGFRA,THBS1,PDPN,C1QTNF1,CD34,SELP,THBD,F2R,PRKG1
GO:0050819	negative regulation of coagulation	2.01e-03	2.01e-03	1	TFPI,FAP,SERPINE1,PLAU,PDGFRA,THBS1,C1QTNF1,CD34,THBD,PRKG1
GO:0060284	regulation of cell development	1.29e-05	1.29e-05	1	IGF1,EPHA3,NGFR,NEDD4,CRMP1,SEMA3C,FBLN1,NRCAM,SEMA6A,ABL1,PTK7,SEMA5A,DPYSL3,RTN4,TNFRSF8,BMP4,BMP2,SERPINF1,DLG4,LRP4,DTX1,ITM2C,ZNF365,SEMA7A,APP,SLIT2,NTRK2,ZEB1,LRRC4C,SPOCK1,PTPRD,THY1,FZD1,SKI,NBL1,PDPN,HEYL,FBN1,ISLR2,COL3A1,SDC2,AKAP13,NR2F1,CDK5R1,SOX11,CDH5,MYADM,NOG,CLDN5,ROBO2,TCF4,LPAR1,ARC
GO:0001503	ossification	1.88e-15	1.88e-15	1	MRC2,IGF1,SNAI2,HGF,VCAN,FGFR3,GLI2,PTHLH,CHRD,XYLT1,SFRP1,CDK6,DLX5,ASPN,MGP,TGFB3,ACVR2A,TWIST1,SNAI1,RUNX2,BMP4,BMP2,CHSY1,LRP4,ITGA11,SEMA7A,CDH11,COL6A1,EPHA2,CYR61,ECM1,BMP6,FZD1,CREB3L1,SKI,RUNX1,DDR2,CLEC3B,GREM1,NPNT,S1PR1,ZHX3,SOX11,EXT1,TMEM119,NOG,ENPP1,TWIST2
GO:0036075	replacement ossification	4.48e-02	4.48e-02	1	FGFR3,DLX5,BMP4
GO:0001958	endochondral ossification	4.48e-02	4.48e-02	1	FGFR3,DLX5,BMP4
GO:0030278	regulation of ossification	7.76e-10	7.76e-10	1	IGF1,SNAI2,HGF,CHRD,SFRP1,CDK6,TGFB3,ACVR2A,TWIST1,RUNX2,BMP4,BMP2,CHSY1,LRP4,CYR61,ECM1,BMP6,SKI,DDR2,GREM1,NPNT,S1PR1,ZHX3,SOX11,TMEM119,NOG,ENPP1,TWIST2
GO:0001649	osteoblast differentiation	7.12e-12	7.12e-12	1	MRC2,IGF1,SNAI2,HGF,VCAN,GLI2,PTHLH,CHRD,SFRP1,CDK6,DLX5,ACVR2A,TWIST1,SNAI1,RUNX2,BMP4,BMP2,ITGA11,SEMA7A,COL6A1,EPHA2,CYR61,BMP6,FZD1,CREB3L1,SKI,DDR2,GREM1,NPNT,ZHX3,SOX11,TMEM119,NOG,TWIST2
GO:0045667	regulation of osteoblast differentiation	2.27e-08	2.27e-08	1	IGF1,SNAI2,HGF,CHRD,CDK6,ACVR2A,TWIST1,RUNX2,BMP4,BMP2,CYR61,BMP6,SKI,DDR2,GREM1,NPNT,ZHX3,SOX11,TMEM119,NOG,TWIST2
GO:0050878	regulation of body fluid levels	1.38e-03	1.38e-03	1	TFPI,FYN,EHD2,FBLN1,FAP,CAV1,SERPINE1,RAB11FIP2,COL1A1,WFS1,VWF,F3,PLAU,ITPR2,F13A1,DOCK6,PDGFRA,CD36,THBS1,MMRN1,FLG,GNA14,PDPN,ITGA2,COL1A2,COL3A1,ZFPM2,HAS2,PDGFD,C1QTNF1,CD34,SELP,THBD,F2R,PRKG1,GNG2,F5,AQP1
GO:0007599	hemostasis	6.75e-04	6.75e-04	1	TFPI,FYN,EHD2,FBLN1,FAP,CAV1,SERPINE1,COL1A1,VWF,F3,PLAU,ITPR2,F13A1,DOCK6,PDGFRA,CD36,THBS1,MMRN1,GNA14,PDPN,ITGA2,COL1A2,COL3A1,ZFPM2,PDGFD,C1QTNF1,CD34,SELP,THBD,F2R,PRKG1,GNG2,F5
GO:1900046	regulation of hemostasis	2.01e-05	2.01e-05	1	TFPI,FAP,CAV1,SERPINE1,F3,PLAU,PDGFRA,THBS1,PDPN,C1QTNF1,CD34,SELP,THBD,F2R,PRKG1
GO:1900048	positive regulation of hemostasis	7.22e-04	7.22e-04	1	SERPINE1,F3,THBS1,PDPN,SELP,THBD,F2R
GO:1900047	negative regulation of hemostasis	1.04e-03	1.04e-03	1	TFPI,FAP,SERPINE1,PLAU,PDGFRA,THBS1,C1QTNF1,CD34,THBD,PRKG1
GO:0033627	cell adhesion mediated by integrin	9.71e-08	9.71e-08	1	SNAI2,COL16A1,SERPINE1,PLAU,PODXL,CCL21,ITGA11,CYP1B1,EPHA2,SFRP2,ITGB1,ITGA5,ITGA2,FBN1,NPNT,DPP4
GO:0051129	negative regulation of cellular component organization	1.40e-02	1.40e-02	1	FYN,IGF1,HGF,EPHA3,LIMA1,NGFR,NAV3,CRMP1,FBLN1,FAP,CAV1,VAT1,SEMA5A,DPYSL3,RTN4,DUSP1,TNFRSF8,TWIST1,PMEPA1,BMP4,DLG4,LRP4,ITM2C,SPRY2,CCL21,THBS1,ZNF365,PHLDB2,SLIT2,FEZ1,SPOCK1,THY1,DLC1,DACT1,NR2F1,MYADM,ROBO2,APOD,DPP4,LPAR1,ARHGEF15
GO:1903392	negative regulation of adherens junction organization	4.40e-02	4.40e-02	1	THBS1,PHLDB2,DLC1,APOD
GO:0061061	muscle structure development	2.56e-06	2.56e-06	1	IGF1,EHD2,GPC1,SPEG,EVC,ABL1,DMPK,CAV1,AEBP1,PDGFRB,SDC1,TCF21,BMP4,BMP2,SYNE1,TMEM204,MYH11,PDGFRA,ITGA11,PRICKLE1,TPM1,NKD1,MEGF10,ADAM12,TAGLN,FZD7,MMP14,KIT,SKI,NEXN,COL6A3,LMOD1,HEY1,GREM1,IGF2,ZFPM2,SGCD,AKAP13,S1PR1,SOSTDC1,BASP1,EGR3,FHL3,NOG,MAPK12,CACNA1H
GO:0007517	muscle organ development	4.55e-04	4.55e-04	1	IGF1,GPC1,SPEG,EVC,CAV1,AEBP1,TCF21,BMP4,BMP2,ITGA11,TPM1,MEGF10,TAGLN,FZD7,SKI,COL6A3,GREM1,ZFPM2,SGCD,S1PR1,BASP1,EGR3,FHL3,NOG,MAPK12,CACNA1H
GO:0032102	negative regulation of response to external stimulus	1.39e-03	1.39e-03	1	TFPI,SNAI2,FAP,C1QTNF3,SERPINE1,SEMA5A,FNDC4,TEK,PLAU,PTGIS,PDGFRA,THBS1,PHLDB2,SLIT2,CASK,NBL1,GREM1,C1QTNF1,CD34,THBD,CDH5,ROBO2,PRKG1,APOD,KANK2
GO:0032103	positive regulation of response to external stimulus	1.25e-02	1.25e-02	1	SERPINE1,RARRES2,CXCL12,SMOC2,SEMA5A,PDGFRB,F3,TNFSF4,PGF,EDN2,KDR,AGT,CCL21,THBS1,APP,SLIT2,VEGFC,BMP6,SCG2,LPL,THBD,PDE2A,PLA2G2A
GO:0009611	response to wounding	2.65e-05	2.65e-05	1	TFPI,FYN,IGF1,EHD2,FBLN1,FAP,CAV1,SERPINE1,COL1A1,VWF,SMOC2,DPYSL3,FN1,F3,CTGF,PLAU,ITPR2,F13A1,DOCK6,COL5A1,LYVE1,PDGFRA,CD36,THBS1,MMRN1,FGF7,TPM1,CYR61,PHLDB2,CASK,ADRA2A,FZD7,GNA14,ITGA5,PDPN,ITGA2,COL1A2,COL3A1,ZFPM2,PDGFD,C1QTNF1,CD34,SELP,THBD,F2R,NOG,PRKG1,GNG2,APOD,F5
GO:0042060	wound healing	6.09e-05	6.09e-05	1	TFPI,FYN,IGF1,EHD2,FBLN1,FAP,CAV1,SERPINE1,COL1A1,VWF,SMOC2,F3,PLAU,ITPR2,F13A1,DOCK6,COL5A1,PDGFRA,CD36,THBS1,MMRN1,TPM1,CYR61,PHLDB2,CASK,ADRA2A,FZD7,GNA14,ITGA5,PDPN,ITGA2,COL1A2,COL3A1,ZFPM2,PDGFD,C1QTNF1,CD34,SELP,THBD,F2R,NOG,PRKG1,GNG2,APOD,F5
GO:0007596	blood coagulation	5.30e-04	5.30e-04	1	TFPI,FYN,EHD2,FBLN1,FAP,CAV1,SERPINE1,COL1A1,VWF,F3,PLAU,ITPR2,F13A1,DOCK6,PDGFRA,CD36,THBS1,MMRN1,GNA14,PDPN,ITGA2,COL1A2,COL3A1,ZFPM2,PDGFD,C1QTNF1,CD34,SELP,THBD,F2R,PRKG1,GNG2,F5
GO:0030168	platelet activation	2.43e-02	2.43e-02	1	FYN,COL1A1,VWF,ITPR2,PDGFRA,GNA14,PDPN,COL1A2,COL3A1,C1QTNF1,SELP,THBD,F2R,PRKG1,GNG2
GO:1902105	regulation of leukocyte differentiation	2.90e-02	2.90e-02	1	FSTL3,GLI2,ABL1,SFRP1,CDK6,GLI3,FOXP1,TNFSF4,INHBA,BMP4,LIF,LRRC17,MMP14,RUNX1,TGFBR2,FBN1,SOCS5,CR1
GO:0031589	cell-substrate adhesion	3.46e-13	3.46e-13	1	EPHA3,ACTN1,FERMT2,FBLN1,COL16A1,LAMB1,SORBS1,ABL1,SFRP1,CDK6,SERPINE1,ECM2,VWF,FN1,TEK,PLAU,KDR,LYVE1,CD36,CCL21,THBS1,ITGA11,EMILIN1,FBLN5,ITGA10,PHLDB2,CASK,ITGB1,ADAMTS12,SPOCK1,THY1,FZD7,ITGA5,PDPN,VCAM1,ADAMTS9,ITGA2,DLC1,DAPK3,COL3A1,NPNT,ANTXR1,CD34,MYADM,APOD,ITGA1
GO:0007160	cell-matrix adhesion	1.60e-11	1.60e-11	1	EPHA3,ACTN1,FERMT2,COL16A1,SORBS1,ABL1,SFRP1,CDK6,SERPINE1,ECM2,TEK,PLAU,KDR,LYVE1,CD36,CCL21,THBS1,ITGA11,EMILIN1,FBLN5,ITGA10,PHLDB2,CASK,ITGB1,ADAMTS12,THY1,VCAM1,ADAMTS9,ITGA2,DLC1,DAPK3,COL3A1,NPNT,CD34,APOD,ITGA1
GO:0061302	smooth muscle cell-matrix adhesion	1.30e-02	1.30e-02	1	SERPINE1,PLAU,APOD
GO:0007492	endoderm development	7.88e-08	7.88e-08	1	COL11A1,MMP2,LAMB1,COL12A1,COL7A1,FN1,DUSP1,INHBA,COL5A1,COL4A2,COL6A1,COL8A1,HMGA2,MMP14,ITGA5,SOX7,COL5A2
GO:0060537	muscle tissue development	5.21e-03	5.21e-03	1	IGF1,GPC1,CAV1,PDGFRB,TCF21,PKD2,BMP4,BMP2,MYH11,PDGFRA,TPM1,MEGF10,FZD7,SKI,NEXN,ADAMTS9,GREM1,ZFPM2,SGCD,AKAP13,S1PR1,NOG
GO:0014706	striated muscle tissue development	6.23e-03	6.23e-03	1	IGF1,GPC1,CAV1,PDGFRB,TCF21,BMP4,BMP2,MYH11,PDGFRA,TPM1,MEGF10,FZD7,SKI,NEXN,ADAMTS9,GREM1,ZFPM2,SGCD,AKAP13,S1PR1,NOG
GO:0097435	supramolecular fiber organization	9.46e-10	9.46e-10	1	LIMA1,BCAR1,COL11A1,NAV3,ACTN1,FSCN1,COL5A3,FAT1,PLEKHG2,SORBS1,ABL1,PLS3,SFRP1,CXCL12,COL1A1,COL12A1,NEDD9,SEMA5A,DPYSL3,PDGFRB,CTGF,LTBP2,TGFB3,COL5A1,MYH11,LOXL2,PDGFRA,CD36,CCL21,CYP1B1,EMILIN1,LUM,FBLN5,TPM1,APP,DPT,ANKRD53,PHLDB2,SLIT2,IQGAP2,SERPINH1,SHROOM4,DDR2,CDC42EP3,LMOD1,COL1A2,DLC1,MFAP4,GREM1,NCKAP5L,TNXB,COL3A1,AKAP13,SYNPO2,DES,CDK5R1,MYADM,COL14A1,STMN3,LPAR1,ARHGEF15,COL5A2,MAGEL2
GO:1902903	regulation of supramolecular fiber organization	6.80e-03	6.80e-03	1	LIMA1,NAV3,PLEKHG2,ABL1,SFRP1,CXCL12,SEMA5A,CTGF,TGFB3,CCL21,TPM1,APP,ANKRD53,PHLDB2,SLIT2,IQGAP2,CDC42EP3,LMOD1,DLC1,AKAP13,SYNPO2,CDK5R1,MYADM,LPAR1,ARHGEF15,MAGEL2
GO:1902905	positive regulation of supramolecular fiber organization	1.19e-02	1.19e-02	1	NAV3,ABL1,SFRP1,SEMA5A,CTGF,TGFB3,CCL21,TPM1,APP,ANKRD53,IQGAP2,CDC42EP3,LMOD1,SYNPO2,CDK5R1,LPAR1,ARHGEF15,MAGEL2
GO:0007498	mesoderm development	6.10e-03	6.10e-03	1	TIE1,MEST,SNAI1,BMP4,SMO,GDF11,CRB2,HMGA2,ITGB1,ITGA2,SIX2
GO:0061448	connective tissue development	9.95e-08	9.95e-08	1	SNAI2,FGFR3,PTHLH,ACTA2,NKX3-2,MGP,PDGFRB,EFEMP1,RUNX2,BMP4,BMP2,LOXL2,WNT2B,ADAMTS7,HMGA2,ARID5B,ADAMTS12,RUNX1,GREM1,BMP1,CD34,SH3PXD2B,SULF2
GO:0043062	extracellular structure organization	1.15e-50	1.15e-50	1	DCN,PHLDB1,TIMP2,VCAN,ELN,COL11A1,FSCN1,FAP,COL5A3,COL16A1,MMP2,NID2,LAMB1,COL9A3,MMP11,COMP,SERPINE1,SPOCK2,SH3PXD2A,COL1A1,VWF,COL12A1,LAMA4,SPARC,COL7A1,FN1,SDC1,NID1,MFAP2,TGFBI,MMP19,LRP1,COL10A1,KDR,PXDN,COL5A1,MATN3,POSTN,MYH11,LOXL2,COL4A2,AGT,FOXF2,THBS1,ITGA11,CYP1B1,EMILIN1,LUM,FBLN5,COL6A1,COL6A2,APP,HSPG2,ITGA10,DPT,CTSK,COL8A1,PHLDB2,ADAM12,SERPINH1,ITGB1,ADAMTS5,MMP14,CREB3L1,ACAN,ADAMTS4,ITGA5,PDPN,VCAM1,DDR2,COL6A3,ADAMTS9,ITGA2,COL1A2,HTRA1,JAM3,FBN1,MFAP4,GREM1,TNXB,BMP1,COL3A1,NPNT,HAS2,COL8A2,CD34,SH3PXD2B,LPL,BGN,FLRT2,COL4A1,COL14A1,COL4A5,PLA2G2A,SULF2,COL4A6,MFAP5,DPP4,COL5A2,ITGA1
GO:0030198	extracellular matrix organization	9.93e-55	9.93e-55	1	DCN,PHLDB1,TIMP2,VCAN,ELN,COL11A1,FSCN1,FAP,COL5A3,COL16A1,MMP2,NID2,LAMB1,COL9A3,MMP11,COMP,SERPINE1,SPOCK2,SH3PXD2A,COL1A1,VWF,COL12A1,LAMA4,SPARC,COL7A1,FN1,NID1,MFAP2,TGFBI,MMP19,LRP1,COL10A1,KDR,PXDN,COL5A1,MATN3,POSTN,MYH11,LOXL2,COL4A2,AGT,FOXF2,THBS1,ITGA11,CYP1B1,EMILIN1,LUM,FBLN5,COL6A1,COL6A2,APP,HSPG2,ITGA10,DPT,CTSK,COL8A1,PHLDB2,ADAM12,SERPINH1,ITGB1,ADAMTS5,MMP14,CREB3L1,ACAN,ADAMTS4,ITGA5,PDPN,VCAM1,DDR2,COL6A3,ADAMTS9,ITGA2,COL1A2,HTRA1,JAM3,FBN1,MFAP4,GREM1,TNXB,BMP1,COL3A1,NPNT,HAS2,COL8A2,SH3PXD2B,BGN,FLRT2,COL4A1,COL14A1,COL4A5,SULF2,COL4A6,MFAP5,DPP4,COL5A2,ITGA1
GO:0071711	basement membrane organization	4.55e-04	4.55e-04	1	PHLDB1,NID2,NID1,PHLDB2,FLRT2,COL4A1
GO:0022617	extracellular matrix disassembly	2.91e-06	2.91e-06	1	TIMP2,FSCN1,FAP,MMP2,MMP11,MMP19,LRP1,CTSK,ADAMTS5,MMP14,ADAMTS4,PDPN,DDR2,HTRA1,BMP1,SH3PXD2B,DPP4
GO:0030199	collagen fibril organization	4.68e-11	4.68e-11	1	COL11A1,COL5A3,COL1A1,COL12A1,COL5A1,LOXL2,CYP1B1,LUM,DPT,SERPINH1,DDR2,COL1A2,GREM1,COL3A1,COL14A1,COL5A2
GO:0061383	trabecula morphogenesis	4.69e-02	4.69e-02	1	TEK,HEY1,GREM1,S1PR1,NOG
GO:0048729	tissue morphogenesis	3.80e-14	3.80e-14	1	SNAI2,HGF,GLI2,FOXF1,ACTA2,FGF1,FOXP1,TCF21,PKD2,SNAI1,SOX4,BMP4,BMP2,LIF,KRT17,PODXL,SMO,COL5A1,AGT,FOXF2,PRICKLE1,TPM1,NKD1,EPHA2,CYR61,RHOB,PHLDB2,SLIT2,SFRP2,CRB2,HMGA2,ITGB1,ADAMTS12,DAB2,FZD7,FZD1,SKI,ITGA5,PDPN,ACTG2,TGFBR2,PRICKLE2,HEYL,ITGA2,HEY1,DLC1,DACT1,DCHS1,NPNT,ROR2,ZFPM2,SIX2,S1PR1,SOX11,FZD2,NOG,ROBO2,COL4A1
GO:0048332	mesoderm morphogenesis	1.96e-02	1.96e-02	1	SNAI1,BMP4,CRB2,HMGA2,ITGB1,ITGA2,SIX2
GO:0002009	morphogenesis of an epithelium	5.18e-10	5.18e-10	1	SNAI2,HGF,GLI2,FGF1,FOXP1,TCF21,PKD2,SOX4,BMP4,BMP2,LIF,KRT17,PODXL,SMO,COL5A1,AGT,FOXF2,PRICKLE1,NKD1,EPHA2,CYR61,RHOB,PHLDB2,SLIT2,SFRP2,ADAMTS12,DAB2,FZD7,FZD1,SKI,ITGA5,PDPN,TGFBR2,PRICKLE2,DLC1,DACT1,NPNT,ROR2,SIX2,SOX11,FZD2,NOG,COL4A1
GO:1905330	regulation of morphogenesis of an epithelium	1.62e-07	1.62e-07	1	SNAI2,HGF,FGF1,FOXP1,BMP4,LIF,SMO,AGT,PRICKLE1,NKD1,PHLDB2,ADAMTS12,DAB2,FZD7,FZD1,PRICKLE2,DACT1,ROR2,SIX2,FZD2,NOG
GO:1905332	positive regulation of morphogenesis of an epithelium	2.50e-02	2.50e-02	1	BMP4,LIF,SMO,AGT,NOG
GO:0001738	morphogenesis of a polarized epithelium	1.49e-02	1.49e-02	1	FOXF2,PRICKLE1,NKD1,DAB2,FZD7,FZD1,PRICKLE2,DACT1,ROR2,FZD2
GO:0001736	establishment of planar polarity	4.21e-03	4.21e-03	1	FOXF2,PRICKLE1,NKD1,DAB2,FZD7,FZD1,PRICKLE2,DACT1,ROR2,FZD2
GO:0001763	morphogenesis of a branching structure	6.97e-09	6.97e-09	1	SNAI2,HGF,GLI2,FOXF1,FGF1,RTN4,TCF21,PKD2,BMP4,BMP2,SMO,AGT,EPHA2,SLIT2,SFRP2,TGFBR2,NPNT,SIX2,NOG,COL4A1
GO:0061138	morphogenesis of a branching epithelium	4.62e-08	4.62e-08	1	SNAI2,HGF,GLI2,FGF1,TCF21,PKD2,BMP4,BMP2,SMO,AGT,EPHA2,SLIT2,SFRP2,TGFBR2,NPNT,SIX2,NOG,COL4A1
GO:0009791	post-embryonic development	2.22e-02	2.22e-02	1	EFEMP1,MFAP2,BMP4,FBN1
GO:0009886	post-embryonic animal morphogenesis	2.01e-03	2.01e-03	1	EFEMP1,MFAP2,FBN1
GO:0030155	regulation of cell adhesion	2.60e-08	2.60e-08	1	FYN,IGF1,SNAI2,EPHA3,FSTL3,GLI2,NUAK1,FBLN1,COL16A1,CHRD,SEMA6A,ABL1,CD276,SFRP1,CDK6,CAV1,SERPINE1,GLI3,CXCL12,SEMA5A,FN1,TNFSF4,TEK,TGFBI,PLAU,BMP4,BMP2,KDR,PODXL,CD36,CCL21,THBS1,CYP1B1,TPM1,EPHA2,PHLDB2,SFRP2,CASK,SPOCK1,THY1,ANGPT1,FZD7,RUNX1,PDPN,VCAM1,TGFBR2,EMCN,DLC1,IGF2,DAPK3,NPNT,HAS2,SOCS5,C1QTNF1,MYADM,PRKG1,APOD,DPP4,TGM2
GO:0033628	regulation of cell adhesion mediated by integrin	8.96e-04	8.96e-04	1	SNAI2,SERPINE1,PLAU,PODXL,CCL21,CYP1B1,EPHA2,SFRP2,DPP4
GO:0010810	regulation of cell-substrate adhesion	8.25e-07	8.25e-07	1	EPHA3,FBLN1,COL16A1,ABL1,SFRP1,CDK6,SERPINE1,FN1,TEK,PLAU,KDR,CD36,CCL21,THBS1,PHLDB2,CASK,SPOCK1,THY1,FZD7,PDPN,DLC1,DAPK3,NPNT,MYADM,APOD
GO:0001952	regulation of cell-matrix adhesion	8.19e-06	8.19e-06	1	EPHA3,COL16A1,ABL1,SFRP1,CDK6,SERPINE1,TEK,PLAU,KDR,CD36,CCL21,THBS1,PHLDB2,CASK,THY1,DLC1,DAPK3,APOD
GO:2000097	regulation of smooth muscle cell-matrix adhesion	2.01e-03	2.01e-03	1	SERPINE1,PLAU,APOD
GO:0022407	regulation of cell-cell adhesion	2.90e-02	2.90e-02	1	FYN,IGF1,SNAI2,FSTL3,GLI2,CD276,CAV1,GLI3,CXCL12,TNFSF4,BMP4,BMP2,PODXL,CCL21,THY1,RUNX1,PDPN,VCAM1,TGFBR2,IGF2,HAS2,SOCS5,C1QTNF1,MYADM,PRKG1,DPP4
